X,Y,Z,rX,rY,rZ,id
0.00602348,0.000762715,-0.0252404,1.5708,0.4297,0,18
0.00891784,0.00103754,-0.0300359,1.5708,0.145595,0,19
0.0103305,0.00137789,-0.0344312,1.5708,0.193849,0,20
0.0113079,0.00157953,-0.0388918,1.5708,0.224353,0,21
0.0138635,0.00204669,-0.0445405,1.5708,0.122536,0,22
0.0165117,0.00271589,-0.0518373,1.5708,0.0325361,0,23
0.0174451,0.00353664,-0.0582764,1.5708,0.0103017,0,24
0.0174476,0.00529299,-0.0654951,1.5708,0.00328416,0,25
0.0190894,0.00751996,-0.0732349,1.57079,0.00189143,0,26
0.0201262,0.00968347,-0.0817555,1.57075,0.000880865,0,27
0.0203684,0.0120458,-0.088827,1.57055,0.000462787,0,28
0.0221662,0.0155122,-0.0961551,1.56823,0.000267539,0,29
0.0235682,0.0178589,-0.104651,1.56469,0.000128104,0,30
0.021601,0.0188701,-0.107683,1.56181,9.88162e-05,0,31
0.0248565,0.0190383,-0.112316,1.56402,8.93395e-05,0,32
0.0263537,0.0216042,-0.121698,1.56637,0.000144842,0,33
0.0237908,0.0272179,-0.133334,1.5616,0.000261884,0,34
0.0203271,0.0286185,-0.138662,1.55233,0.000182106,0,35
0.0205435,0.0318871,-0.143971,1.50471,0.000110436,0,36
0.0238348,0.0357935,-0.148378,1.41344,7.47603e-05,0,37
0.0240299,0.0394937,-0.158285,1.31078,5.63458e-05,0,38
0.0253471,0.0381578,-0.168226,1.30274,2.78075e-05,0,39
0.0256636,0.0396957,-0.179155,1.21661,1.63558e-05,0,40
0.0251925,0.0412476,-0.189049,1.01374,8.68894e-06,0,41
0.0253486,0.0431887,-0.198335,0.811637,5.01553e-06,0,42
0.0256204,0.045122,-0.205817,0.757695,4.7755e-06,0,43
0.0246534,0.0469089,-0.215795,0.667723,3.35111e-06,0,44
0.0246893,0.0487653,-0.226611,0.553966,2.32961e-06,0,45
0.0243861,0.0500899,-0.237794,0.544881,1.7291e-06,0,46
0.0248317,0.0520058,-0.248529,0.738737,2.39446e-06,0,47
