X,Y,Z,cX,cY,cZ,id
-0.45692,-0.297212,0.982276,0.00602348,0.000762715,-0.0252404,0
0.212001,-0.103528,0.977239,0.00602348,0.000762715,-0.0252404,1
-0.450029,-0.293482,0.978664,0.00891784,0.00103754,-0.0300359,2
0.214651,-0.0990428,0.972223,0.00891784,0.00103754,-0.0300359,3
-0.448746,-0.29367,0.975646,0.0103305,0.00137789,-0.0344312,4
0.218344,-0.0973819,0.968128,0.0103305,0.00137789,-0.0344312,5
-0.44997,-0.29803,0.972171,0.0113079,0.00157953,-0.0388918,6
0.218539,-0.0994799,0.964092,0.0113079,0.00157953,-0.0388918,7
-0.440829,-0.296122,0.967594,0.0138635,0.00204669,-0.0445405,8
0.226824,-0.0999338,0.958473,0.0138635,0.00204669,-0.0445405,9
-0.443372,-0.300289,0.961222,0.0165117,0.00271589,-0.0518373,10
0.231234,-0.0985689,0.950736,0.0165117,0.00271589,-0.0518373,11
-0.443487,-0.294723,0.954565,0.0174451,0.00353664,-0.0582764,12
0.230795,-0.0972703,0.944256,0.0174451,0.00353664,-0.0582764,13
-0.442626,-0.297537,0.947105,0.0174476,0.00529299,-0.0654951,14
0.237422,-0.0976354,0.937134,0.0174476,0.00529299,-0.0654951,15
-0.444798,-0.295856,0.939898,0.0190894,0.00751996,-0.0732349,16
0.239759,-0.0952496,0.929347,0.0190894,0.00751996,-0.0732349,17
-0.438059,-0.296944,0.931615,0.0201262,0.00968347,-0.0817555,18
0.237851,-0.0945902,0.920807,0.0201262,0.00968347,-0.0817555,19
-0.437684,-0.289819,0.924153,0.0203684,0.0120458,-0.088827,20
0.24177,-0.089455,0.913711,0.0203684,0.0120458,-0.088827,21
-0.435885,-0.284825,0.917268,0.0221662,0.0155122,-0.0961551,22
0.246214,-0.0806953,0.906114,0.0221662,0.0155122,-0.0961551,23
-0.432819,-0.284878,0.909068,0.0235682,0.0178589,-0.104651,24
0.247707,-0.0845773,0.897753,0.0235682,0.0178589,-0.104651,25
-0.446632,-0.284787,0.904371,0.021601,0.0188701,-0.107683,26
0.24045,-0.0792763,0.895405,0.021601,0.0188701,-0.107683,27
-0.444554,-0.285184,0.900855,0.0248565,0.0190383,-0.112316,28
0.245521,-0.0795754,0.890914,0.0248565,0.0190383,-0.112316,29
-0.448435,-0.281238,0.894139,0.0263537,0.0216042,-0.121698,30
0.257111,-0.0752374,0.882331,0.0263537,0.0216042,-0.121698,31
-0.453002,-0.283886,0.884434,0.0237908,0.0272179,-0.133334,32
0.253615,-0.0667025,0.871982,0.0237908,0.0272179,-0.133334,33
-0.46395,-0.284665,0.876803,0.0203271,0.0286185,-0.138662,34
0.239543,-0.0691908,0.867662,0.0203271,0.0286185,-0.138662,35
-0.464006,-0.283324,0.870814,0.0205435,0.0318871,-0.143971,36
0.243608,-0.0671172,0.862401,0.0205435,0.0318871,-0.143971,37
-0.461704,-0.28926,0.868644,0.0238348,0.0357935,-0.148378,38
0.248533,-0.0607139,0.856759,0.0238348,0.0357935,-0.148378,39
